
Initializing ADC and GPIO...
{'x_axis': 0.00781250, 'y_axis': 00000000000000000000000000000000, 'button': false}
{'x_axis': -0.00146484, 'y_axis': -0.00634766, 'button': false}
{'x_axis': 0.00976562, 'y_axis': -0.00634766, 'button': false}
{'x_axis': 0.00830078, 'y_axis': -0.00683594, 'button': false}
{'x_axis': 0.00537109, 'y_axis': -0.00537109, 'button': false}
{'x_axis': 0.0122070, 'y_axis': -0.00585938, 'button': false}
{'x_axis': 0.00976562, 'y_axis': -0.00781250, 'button': false}
{'x_axis': 0.00000, 'y_axis': 0.00781250, 'button': false}
{'x_axis': 0.00097656, 'y_axis': 0.00634766, 'button': false}
{'x_axis': 0.00244141, 'y_axis': 0.00537109, 'button': false}
{'x_axis': 0.00683594, 'y_axis': -0.00634766, 'button': false}
{'x_axis': 0.00634766, 'y_axis': -0.00634766, 'button': false}
{'x_axis': 0.00976562, 'y_axis': -0.00927734, 'button': false}
{'x_axis': -0.00244141, 'y_axis': 0.00878906, 'button': false}
{'x_axis': 0.0117188, 'y_axis': -0.00537109, 'button': false}
{'x_axis': 0.00537109, 'y_axis': 0.00244141, 'button': false}
{'x_axis': -0.00195312, 'y_axis': 0.00878906, 'button': false}
{'x_axis': 0.00146484, 'y_axis': -0.00195312, 'button': false}
{'x_axis': 0.00878906, 'y_axis': -0.00683594, 'button': false}
{'x_axis': 0.00732422, 'y_axis': -0.00439453, 'button': false}
{'x_axis': 0.00390625, 'y_axis': 0.00341797, 'button': false}
{'x_axis': 0.00439453, 'y_axis': 0.00390625, 'button': false}
{'x_axis': 0.00537109, 'y_axis': -0.00488281, 'button': false}
{'x_axis': 0.00781250, 'y_axis': -0.00537109, 'button': false}
{'x_axis': 0.00000, 'y_axis': 0.00732422, 'button': false}
{'x_axis': 0.00976562, 'y_axis': -0.00390625, 'button': false}
{'x_axis': -0.00390625, 'y_axis': -0.00390625, 'button': false}
{'x_axis': 0.00390625, 'y_axis': -0.00244141, 'button': false}
{'x_axis': 0.00634766, 'y_axis': -0.00927734, 'button': false}
{'x_axis': 0.00976562, 'y_axis': -0.00341797, 'button': false}
{'x_axis': 0.00830078, 'y_axis': -0.00488281, 'button': false}
{'x_axis': -0.00683594, 'y_axis': -0.00195312, 'button': false}
{'x_axis': 0.00390625, 'y_axis': -0.00537109, 'button': false}
{'x_axis': -0.991699, 'y_axis': -0.00634766, 'button': false}
{'x_axis': -0.991699, 'y_axis': -0.00488281, 'button': false}
{'x_axis': -0.991699, 'y_axis': -0.00390625, 'button': true}
{'x_axis': -0.990723, 'y_axis': -0.00292969, 'button': true}
{'x_axis': -0.348633, 'y_axis': -0.00244141, 'button': true}
{'x_axis': 0.00390625, 'y_axis': -0.00439453, 'button': true}
{'x_axis': 0.00244141, 'y_axis': -0.00439453, 'button': true}
{'x_axis': 0.00683594, 'y_axis': -0.00488281, 'button': false}
{'x_axis': 0.00634766, 'y_axis': -0.00292969, 'button': false}
{'x_axis': -0.00390625, 'y_axis': 0.00732422, 'button': false}
{'x_axis': 0.00439453, 'y_axis': -0.00585938, 'button': false}
{'x_axis': 0.00878906, 'y_axis': -0.00097656, 'button': false}
{'x_axis': 0.0102539, 'y_axis': -0.00878906, 'button': false}
{'x_axis': 0.00097656, 'y_axis': -0.00585938, 'button': false}
{'x_axis': 0.00878906, 'y_axis': -0.00634766, 'button': false}
{'x_axis': 0.00390625, 'y_axis': -0.00244141, 'button': false}
{'x_axis': 0.0122070, 'y_axis': -0.00878906, 'button': false}
{'x_axis': 0.0122070, 'y_axis': -0.00488281, 'button': false}
{'x_axis': 0.00830078, 'y_axis': -0.00878906, 'button': false}
{'x_axis': 0.00488281, 'y_axis': -0.00683594, 'button': false}
{'x_axis': 0.000488281, 'y_axis': -0.00244141, 'button': false}
{'x_axis': 0.0122070, 'y_axis': -0.00732422, 'button': false}
{'x_axis': 0.0117188, 'y_axis': -0.0102539, 'button': false}
